N¯;Description;Description de recherche;Stocks;QtÇ sur commande vente;QtÇ sur commande achat;Article de substitution;BloquÇ;PrÇ-commande;Vente bloquÇe;Achat bloquÇ;N¯ fournisseur;1-FAMILLE ;2-Ss Famille ;3-Ss Ss Famille ;4-Ss Ss Ss Famille;5-MARQUE;6-SEMMARIS;7-NUMERO UTI
000454;EAU AROME DE ROSE 500ML;;29,;1,;840,;FAUX;FAUX;FAUX;FAUX;FAUX;100799;AIDE CULI;AROM COLO;AROM;ZAUTR AROM;ORIEN;PPC;N
000455;MIEL TOUTES FLEURS 1KG;;164,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100798;EPIC SUCR;MIEL CONF;MIEL ERAB;MIEL;EPIC;CONSEPI;N
000469;MIEL DU GATINAIS TOUTES FLEURS 250G;;152,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100798;EPIC SUCR;MIEL CONF;MIEL ERAB;MIEL;EPIC;CONSEPI;N
000478;MIEL D'ACACIA UE 250G;;87,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100798;EPIC SUCR;MIEL CONF;MIEL ERAB;MIEL;EPIC;CONSEPI;N
000479;MIEL D'ACACIA DE FRANCE 250G;;3,;0,;114,;FAUX;FAUX;FAUX;FAUX;FAUX;100798;EPIC SUCR;MIEL CONF;MIEL ERAB;MIEL;EPIC;CONSEPI;N
000488;MIEL DE CHATAIGNIER 250G;;62,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100798;EPIC SUCR;MIEL CONF;MIEL ERAB;MIEL;EPIC;CONSEPI;N
000492;MIEL DU BERRY TOUTES FLEURS 250G;;0,;0,;114,;VRAI;FAUX;FAUX;FAUX;FAUX;100798;EPIC SUCR;MIEL CONF;MIEL ERAB;MIEL;EPIC;PPC;N
000513;MIEL DE LAVANDE DE FRANCE 250G;;168,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100798;EPIC SUCR;MIEL CONF;MIEL ERAB;MIEL;EPIC;CONSEPI;N
000522;MIEL DE SAPIN DE FRANCE 250G;;149,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100798;EPIC SUCR;MIEL CONF;MIEL ERAB;MIEL;EPIC;CONSEPI;N
000524;MIEL DE THYM 250G;;79,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100798;EPIC SUCR;MIEL CONF;MIEL ERAB;MIEL;EPIC;CONSEPI;N
000526;MIEL DE FLEUR DE FRANCE 1KG;;92,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100798;EPIC SUCR;MIEL CONF;MIEL ERAB;MIEL;EPIC;CONSEPI;N
000541;MIEL DE CITRONNIER 250G;;163,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100798;EPIC SUCR;MIEL CONF;MIEL ERAB;MIEL;EPIC;CONSEPI;N
000554;PRESS'MIEL MIEL ACACIA UE 250G;;2,;0,;0,;FAUX;FAUX;FAUX;FAUX;VRAI;100798;EPIC SUCR;MIEL CONF;MIEL ERAB;MIEL;MIE VIL;CONSEPI;N
000580;NONNETTES 21% MIEL ORANGE 150G;;36,;0,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;100798;EPIC SUCR;BISC;PAIN EPIC;;DOUC;CONSEPI;N
000590;CONFITURE DE LAIT AU BEURRE SALE 250G;;136,;4,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;001086;EPIC SUCR;MIEL CONF;CONF;SPEC;MEDE;CONSEPI;N
000592;KETCHUP POT VERRE 25G x 80;;4,;0,;20,;FAUX;FAUX;FAUX;FAUX;FAUX;001154;ASSA COND;SAUC COND;KETC MAYO;;AND;CONSEPI;N
000593;MAYONNAISE 22G X 80;;66,;17,;0,;FAUX;FAUX;FAUX;FAUX;FAUX;001154;ASSA COND;SAUC COND;KETC MAYO;;AND;CONSEPI;N
